Text,Media,GPE
"The 10th Straits Youth Festival themed ""Integrated development, Cultural heritage"" was held in Fuzhou. The annual event since 2013 has to a large extent promoted exchanges between youths on both sides of the Taiwan Straits",XHNews,Taiwan
"A forum is held to mark the 30th anniversary of the 1992 Consensus in China's Hong Kong SAR, stressing the principle and opposing ""Taiwan independence""",XHNews,Taiwan
A Chinese government spokesperson voiced the country's firm opposition to planned U.S. arms sales to China's Taiwan region,XHNews,Taiwan
"The 2022 annual summit for entrepreneurs across the Taiwan Strait was held on Tuesday in Xiamen, a coastal city in east China.",XHNews,Taiwan
"Since the beginning of this year, east China's Fuzhou has offered affordable apartments to people from Taiwan to help them settle in the city. Wang Tingwei lives in the Taiwan Compatriots Apartment, and has become an apartment manager due to his warmheartedness",XHNews,Taiwan
": U.S. must stop moving further down wrong path of manipulating question Though Biden gave his word just weeks ago, the U.S. side has acted in a completely opposite direction, throwing its political credibility far away",XHNews,Taiwan
