Text,Media,GPE
"An airfield in Russia's Kursk region that borders Ukraine was hit with a drone strike. Ret. US Army Major Mike Lyons explains how the attack, which Ukraine has not taken responsibility for, is an advantage for Ukraine. Watch:",CNN,USA
"This year’s flu shot appears to be “a very good match” to the circulating strains, US Centers for Disease Control and Prevention Director Dr. Rochelle Walensky said. However, she noted that flu vaccinations are lagging behind the pace of previous years.",CNN,USA
The Biden administration has decided to appeal a federal court decision that blocked the use of a controversial Trump-era policy that let the US turn away migrants at the southern border,CNN,USA
"The Justice Department has appealed a ruling that blocks Title 42, the Trump-era pandemic policy that let the US turn away migrants at the southern border",CNN,USA
"""This is not a partisan issue, this is an integrity issue,"" the family of fallen US Capitol Police Officer Brian Sicknick said about snubbing GOP leaders during a congressional gold medal ceremony",CNN,USA
"Brown University now explicitly prohibits discrimination on the basis of caste, joining a number of US colleges and universities in shoring up such protections",CNN,USA
"After a long and expensive campaign season in Georgia, Sen. Raphael Warnock won reelection as one of Georgia’s two Democratic US Senators. Watch CNN’s break down his path to victory county-by-county:",CNN,USA
"Sen. Raphael Warnock thanked his mother at his victory speech: ""She grew up in the 1950s in Waycross, Georgia, picking somebody else's cotton and somebody else's tobacco. But tonight, she helped pick her youngest son to be a United States senator.""",CNN,USA
"US gas prices are now cheaper than they were a year ago, and falling energy prices could continue to help ease consumer inflation. But it comes as jobless claims tick up.",CNN,USA
"Hospitals are more full than they’ve been throughout the Covid-19 pandemic, according to a CNN analysis. But as respiratory virus season surges across the US, it’s more than Covid that’s filling beds this year.",CNN,USA
The House has voted to pass sweeping legislation that would authorize $858 billion in national defense funding and rescind the US military’s Covid vaccine mandate. The measure now heads to the Senate.,CNN,USA
"A former US Border Patrol agent charged with fatally shooting four women in and around the border city of Laredo, Texas, in 2018 was found guilty of capital murder for their killings.",CNN,USA
The House is expected to vote on Thursday to pass sweeping legislation that would authorize $858 billion in national defense funding and rescind the US military’s Covid vaccine mandate.,CNN,USA
"Anne Sacoolas, the US citizen who caused the death of British teen Harry Dunn in a car crash, won't serve jail time after court handed her a suspended sentence.",CNN,USA
"WNBA star Brittney Griner has been released from Russian detention and is on her way back to the United States, President Joe Biden said Thursday. Watch the announcement here:",CNN,USA
"The average cost of a regular gallon of gas in the United States is now $3.33, according to AAA.",CNN,USA
"There were about 181,806 nonfatal opioid overdoses recorded in the United States in the past year",CNN,USA
US basketball star Brittney Griner has been released from Russian custody in a prisoner exchange for convicted arms dealer Viktor Bout,CNN,USA
Here are 5️⃣ things you need to know today: 1️⃣ Same-sex and interracial marriage bill 2️⃣ Ukraine 3️⃣ North Carolina power grid 4️⃣ US immigration 5️⃣ New Covid-19 admissions,CNN,USA
"The six-episode docuseries is directed by Liz Garbus, an Emmy-winning and two-time Oscar-nominated documentary filmmaker who has tackled topics ranging from voter disenfranchisement in the US to the life of jazz singer Nina Simone.",CNN,USA
"Federal prosecutors have unsealed charges against Andrii Derkach, a Kremlin-linked former Ukrainian lawmaker, for an alleged scheme to launder money and purchase real estate in violation of US sanctions.",CNN,USA
"Russia demanded that a spy held in Germany be freed in exchange for Paul Whelan, even as the US offered up the names of several other Russian prisoners in US custody that they would be willing to trade",CNN,USA
"Flu surged in the United States after Thanksgiving, bringing the most severe week yet in a season that hit the county extra early",CNN,USA
Patrick Giblin conned women all over the US. Now he's going to prison for 5 years.,CNN,USA
"Only 35% of US adults say that things are going well in the country today, with 65% saying things are going badly.",CNN,USA
Here are 5 things you need to know today. 1. Brittney Griner back in the US 2. Sinema leaving Democratic Party 3. Health experts encouraging face masks 4. Winter weather advisories 5. Suspended Twitter users being restored,CNN,USA
"WNBA star Brittney Griner arrived in San Antonio, Texas, after a prisoner exchange with Russia. Watch the moment she touched down on US soil:",CNN,USA
WNBA star Brittney Griner lands in the US after prisoner exchange with Russia,CNN,USA
"As a repeal of the US military’s Covid vaccine mandate took a step closer to becoming law, military officials and experts say it’s a change that could have ripple-effects on military readiness and the ability of service members to deploy around the world.",CNN,USA
"Back-to-back-to-back systems will make their way across the US over the next few days, with the last – and largest – storm bringing heavy rain, blizzard conditions and the potential for tornadoes.",CNN,USA
"Former US Ambassador to the UN Bill Richardson, who helped secure Brittney Griner’s release, explains to how the geo-political differences between Russia and the US affected the chances of being able to swap two Americans for two Russian prisoners.",CNN,USA
"LeBron James and Billie Jean King pay tribute to US journalist Grant Wahl, who died after collapsing while covering the World Cup in Qatar",CNN,USA
"LeBron James and Billie Jean King pay tribute to US journalist Grant Wahl, who died after collapsing while covering the World Cup in Qatar",CNN,USA
The strong turnout in Georgia’s runoff election that cemented Democrats’ control of the US Senate is sparking fresh debate about the impact of the state’s controversial 2021 election law,CNN,USA
"A mail carrier was shot to death Friday night in Milwaukee, police say. The US Postal Inspection Service hasn't named a suspect or motive.",CNN,USA
"LeBron James and Billie Jean King pay tribute to US journalist Grant Wahl, who died after collapsing while covering the World Cup in Qatar",CNN,USA
The strong turnout in Georgia’s runoff election that cemented Democrats’ control of the US Senate is sparking fresh debate about the impact of the state’s controversial 2021 election law,CNN,USA
"After being imprisoned in Russia for nearly 10 months, WNBA star Brittney Griner’s safe return to the US on Friday was marked by a stop at a Texas military medical facility for a routine evaluation, the US State Department said",CNN,USA
"American journalist Grant Wahl has died in Qatar while covering the World Cup, US Soccer said in a statement",CNN,USA
"The eruption of the world's largest active volcano -- Mauna Loa in Hawaii -- may soon come to an end, according to the US Geological Survey.",CNN,USA
"The US killed two ISIS officials in a helicopter raid in eastern Syria, US Central Command said in a statement.",CNN,USA
"""I said keep the faith. We're going to get you."" Roger Carstens, the US Special Presidential Envoy for Hostage Affairs, tells CNN's what he told Paul Whelan about US efforts to get him out of Russian custody.",CNN,USA
"""It's one of those rare moments you can celebrate a victory."" Roger Carstens, the US Special Presidential Envoy for Hostage Affairs, describes his experience meeting Brittney Griner after she was released from a Russian prison.",CNN,USA
"Libyan man accused of involvement in making bomb that destroyed airliner over Lockerbie in 1988 is in US custody, Scottish authorities say",CNN,USA
"The eruption of the world's largest active volcano -- Mauna Loa in Hawaii -- may soon come to an end, according to the US Geological Survey.",CNN,USA
Yellen became the latest Treasury secretary to sign US currency and the first woman Treasury secretary to have her signature on a US banknote,CNN,USA
A Texas man charged in the January 6 attack on the US Capitol has pleaded guilty to threatening Rep. Alexandria Ocasio-Cortez on Twitter shortly after the riot.,CNN,USA
Rep. Marjorie Taylor Greene said over the weekend that if she had led the January 6 insurrection at the US Capitol that “we would have won” and that people would have been “armed.”,CNN,USA
"More than 2,400 migrants crossed into the United States near El Paso daily over the weekend, according to a senior Border Patrol official, marking what he described as a “major surge in illegal crossings” in the region.",CNN,USA
"The US Air Force says it has carried out the first successful test of its complete air-launched hypersonic missile, a program that had previously suffered a series of setbacks because of testing failures.",CNN,USA
"US scientists have made a long-awaited nuclear fusion breakthrough in the quest toward an infinite source of clean energy, a source tells CNN.",CNN,USA
Special counsel Jack Smith has subpoenaed Georgia Secretary of State Brad Raffensperger as part of the Justice Department’s investigation into efforts to overturn the 2020 election and the US Capitol attack.,CNN,USA
"With his vast crypto empire in ruins, Sam Bankman-Fried is preparing to be grilled by US lawmakers who are demanding answers about how his digital asset exchange, FTX, came unraveled, leaving at least a million customers unable to access their funds.",CNN,USA
"Americans are split almost evenly over whether they have more confidence in the newly empowered Republicans in the US House of Representatives (51%) or in President Biden (49%) to deal with the major issues facing the country, a new CNN poll shows",CNN,USA
"GOP Rep. Marjorie Taylor Greene suggested that if she and Steve Bannon had been in charge of the crowds attacking the US Capitol on January 6, they “would have won.” CNN’s and discuss her recent comments:",CNN,USA
So what’s going with the availability of medications in the United States?,CNN,USA
"The US Department of Energy is expected to announce that scientists have for the first time successfully produced a nuclear fusion reaction resulting in a net energy gain, according to the Financial Times and The Washington Post.",CNN,USA
Hurricane Ian decimated countless bee colonies used to pollinate the United States’ agriculture. spoke with Florida beekeepers still reeling from the loss. Watch the report here:,CNN,USA
"A large winter storm system slammed into the western US over the weekend, blanketing mountain areas with heavy snow before taking aim at the South, where it's expected to bring severe weather, with strong winds, hail and tornadoes possible.",CNN,USA
President Joe Biden and Ukrainian President Volodymyr Zelensky spoke on Sunday to discuss Russia’s invasion and recent US efforts to strengthen Ukraine’s air defenses.,CNN,USA
US officials announced a history-making accomplishment in nuclear fusion today that could revolutionize the way we power our world.,CNN,USA
“It will affect us and we are happy to be here to witness this moment.” CNN's and his fiancé Tim Malone attended President Biden's White House signing of the landmark federal protections for same-sex and interracial couples.,CNN,USA
"The flu season ramped up early in the United States this year, but vaccination rates are far from keeping pace",CNN,USA
US lawmakers have introduced new legislation that aims to ban TikTok from operating in the United States,CNN,USA
How one family’s struggle illustrates problems with the program meant to help Afghans who helped the US | Analysis by Jim Sciutto,CNN,USA
"The late civil rights trailblazer and congressman John Lewis will be honored on a new postage stamp in 2023, the US Postal Service announced",CNN,USA
A trio of US lawmakers has introduced new legislation that aims to ban TikTok from operating in the United States,CNN,USA
"For the first time, US scientists have produced more energy from fusion than the laser energy they used to power the experiment",CNN,USA
"The Covid-19 vaccines have kept more than 18.5 million people in the US out of the hospital and saved more than 3.2 million lives, a new study says – and that estimate is most likely a conservative one, the researchers say",CNN,USA
"The body of prominent American journalist Grant Wahl has been returned to the US and an autopsy is being performed after he died while covering the World Cup in Qatar, his manager said",CNN,USA
US officials announce a history-making accomplishment in the quest toward infinite clean energy involving nuclear fusion,CNN,USA
"Our ears are always listening to the sounds around us. So it’s no surprise that the daily noises that surround us shape us fundamentally. We’ll explore how, on this week’s episode of Chasing Life. Listen:",CNN,USA
"US inflation cooled more than expected in November, easing to 7.1% annually, the smallest increase in a year. But prices remain painfully high.",CNN,USA
"After erupting for the first time in nearly 40 years, lava flows from Hawaii’s Mauna Loa volcano now “appear to be inactive,” according to the US Geological Survey",CNN,USA
Here are 5️⃣ things you need to know today: 1️⃣ Nuclear fusion 2️⃣ Winter storm 3️⃣ US marriage bill 4️⃣ Covid-19 vaccinations 5️⃣ Immigration,CNN,USA
"For the first time ever, US scientists have successfully produced a nuclear fusion reaction resulting in a net energy gain, a source familiar with the project confirmed to CNN",CNN,USA
"A giant winter storm cutting through the US is bringing severe weather, with dangerous blizzard conditions in the Great Plains, icy weather in the upper Midwest and severe storms along the Gulf Coast",CNN,USA
"Former US Marine pilot Daniel Duggan, who was arrested earlier this year in Australia, is accused of breaking US arms control law by training Chinese military pilots to land on aircraft carriers, according to an indictment unsealed by a US court",CNN,USA
"The body of prominent American journalist Grant Wahl has been returned to the US and an autopsy is being performed after he died while covering the World Cup in Qatar, his manager said",CNN,USA
"The Covid-19 vaccines have kept more than 18.5 million people in the US out of the hospital and saved more than 3.2 million lives, a new study says – and that estimate is most likely a conservative one, the researchers say",CNN,USA
"A series of internal Twitter documents shared on the platform offer a glimpse into internal debates among some of the company’s employees ahead of its decision to ban then-President Donald Trump following the January 6, 2021 attack on the US Capitol.",CNN,USA
"BREAKING: Sam Bankman-Fried, the founder of failed crypto exchange FTX, has been arrested in the Bahamas after US prosecutors filed criminal charges against him, according to a statement from the government of the Bahamas.",CNN,USA
"Nearly half of US states do not collect data on the number of incarcerated women with children making it difficult for some nonprofits to provide services to those youth, according to a new report released Wednesday",CNN,USA
"Long Covid played a part in at least 3,544 deaths in the United States in the first 30 months of the Covid-19 pandemic, according to a new report",CNN,USA
"The US military has activated its first Space Force command on foreign soil in South Korea, with the unit’s new commander saying he is ready to face any threat in the region",CNN,USA
"The deadly storm system plowing east across virtually the entire United States is far from over, threatening more tornadoes, freezing rain, treacherous travel and power outages",CNN,USA
and join to discuss a bill introduced by Republican lawmaker Marco Rubio that is gaining bipartisan support to ban TikTok in the US amid national security concerns. Watch it here:,CNN,USA
Here are 5⃣ things you need to know today 👇 1⃣ Biden administration prepares for surge of migrants 2⃣ Storms rage across the US 3⃣ Student loan forgiveness 4⃣ US to send Patriot missile defense system to Ukraine 5⃣ Sandy Hook anniversary,CNN,USA
"The US military has activated its first Space Force command on foreign soil in South Korea, with the unit’s new commander saying he is ready to face any threat in the region",CNN,USA
"Some US consulates and embassies have wait times of more than two years to get an interview for a tourist visa. According to experts, that's hurting the country's tourism industry.",CNN,USA
"Long Covid played a part in at least 3,544 deaths in the United States in the first 30 months of the Covid-19 pandemic, according to a new report",CNN,USA
"FTX founder Sam Bankman-Fried was arrested and indicted on charges of wire fraud and conspiracy. Prosecutors say the ex-crypto chief committed ""one of the biggest financial frauds in US history."" reports:",CNN,USA
"A new government report found more than 7 million incorrect diagnoses are made in US emergency rooms every year. CNN’s shares his personal experience from when his 14-year-old daughter, Alice, almost died as a result of a misdiagnosis.",CNN,USA
"A US Capitol police officer who was injured on January 6 said that he is not leaving the force by choice, but “because they did that to me, the mob.”",CNN,USA
"In recent months, more men between the ages of 30-44 have been dropping out of the workforce, US data shows. And women are stepping into roles in more male-dominated industries, like construction.",CNN,USA
"Consumer spending fell in November, with US retail sales declining by 0.6%, according to data released by the Commerce Department.",CNN,USA
New government data shows that more middle-aged men are disappearing from the US workforce -- for a number of reasons,CNN,USA
The Senate passed legislation to ban TikTok from US government devices.,CNN,USA
Here are 5️⃣ things you need to know today: 1️⃣ Winter storms 2️⃣ Congress tries avoid shutdown 3️⃣ Free Covid tests 4️⃣ US border 5️⃣ World Cup final set,CNN,USA
"A Chinese student appeared in a federal court in the United States, charged with one count of stalking after allegedly threatening and harassing someone who advocated for democracy in China",CNN,USA
"House Speaker Nancy Pelosi’s official portrait was unveiled in a ceremony at the US Capitol, with speeches from old allies and political sparring-mates who reminisced on her historic tenure.",CNN,USA
Drug overdose deaths in the US have slowed in recent months after reaching record levels earlier this year,CNN,USA
"A small proportion – 14.1% – of all diagnosed cancers in the United States are detected by screening with a recommended screening test, according to a new report",CNN,USA
"The end of a Trump-era border policy will “likely increase migration flows immediately,” and migrants who are in encampments along Mexico’s northern border may attempt to cross into the United States, according to a Homeland Security intelligence memo",CNN,USA
"Reality television stars Todd and Julie Chrisley, who last month were sentenced to prison for fraud and tax crimes, will be heading to Florida to serve their time, according to documents from the US Marshals Service that were recently filed with the court",CNN,USA
It's been a tough year for US investors as inflation and fears of a recession continue,CNN,USA
A flu season that hit the US early and hard is showing the first signs of slowing in parts of the country,CNN,USA
The US State Department has announced it is opening a “China House” which will serve as the convening point for US policy toward Beijing and boost the number of diplomats focused on the country.,CNN,USA
"The internet has come a long way since Tim Berners-Lee invented the world wide web in 1989. Now, in an era of growing concern over privacy, he believes it’s time for us to reclaim our personal data.",CNN,USA
"US retail sales fell sharply at the start of the holiday shopping season, dropping by 0.6% during the month of November, according to data released by the Commerce Department",CNN,USA
"The rioter at the front of a mob that chased US Capitol Police Officer Eugene Goodman up flights of stairs near the Senate chamber on January 6, 2021, has been sentenced to five years behind bars",CNN,USA
"The rioter at the front of a mob that chased US Capitol Police Officer Eugene Goodman up flights of stairs near the Senate chamber on January 6, 2021, has been sentenced to five years behind bars",CNN,USA
Puerto Rico has moved one step closer to becoming a US state,CNN,USA
"US regulators have gained full access to the audits of Chinese companies for the first time, reducing the threat that tech giants such as Alibaba and could be kicked off US stock exchanges",CNN,USA
"Magnus Carlsen enjoyed an undefeated victory over reigning US blitz champion Fabiano Caruana, winning by an 18-point margin",CNN,USA
"The internet has come a long way since Tim Berners-Lee invented the world wide web in 1989. Now, in an era of growing concern over privacy, he believes it’s time for us to reclaim our personal data.",CNN,USA
The monstrous storm that walloped much of the US this week has now brought nor’easter conditions as it moves across New York and New England ahead of the weekend,CNN,USA
"A new study finds that nearly 6% of the estimated 130 million people who go to US emergency rooms every year are misdiagnosed, which translates to about 1 in 18 patients getting the wrong diagnosis.",CNN,USA
"Billie Moore – the head coach of the first US women’s Olympic basketball team, the first head coach to lead two schools to national championships in women’s basketball and a member of the Naismith Memorial Basketball Hall of Fame – died Wednesday.",CNN,USA
The Senate has voted to pass a $858 billion national defense bill that will also rescind the US military Covid vaccine mandate.,CNN,USA
Democratic investigators on the House Intelligence Committee have alleged that US intelligence agencies may have lost a critical opportunity to gather useful information on the pandemic’s origins by failing to pivot its collection resources earlier.,CNN,USA
"Edward Kelley was already facing charges in connection with the January 6, 2021, attack on the US Capitol.",CNN,USA
"American college student Kenny DeLand Jr. has been reunited with his mother in Lyon, France, and is expected to return to the United States soon.",CNN,USA
"US retail sales fell sharply at the start of the holiday shopping season, dropping by 0.6% during the month of November, according to data released by the Commerce Department",CNN,USA
"The internet has come a long way since Tim Berners-Lee invented the world wide web in 1989. Now, in an era of growing concern over privacy, he believes it’s time for us to reclaim our personal data.",CNN,USA
"Cybercriminals have in recent months stolen hundreds of thousands of dollars’ worth of shipments from US food suppliers by placing fraudulent orders for milk products, the FBI and other federal agencies have warned",CNN,USA
"US retail sales fell sharply at the start of the holiday shopping season, dropping by 0.6% during the month of November, according to data released by the Commerce Department",CNN,USA
"A war crimes tribunal in The Hague has sentenced a former commander of the Kosovo Liberation Army to 26 years in prison. The case was one overseen in part by now-special counsel Jack Smith, appointed last month to oversee probes in the US involving Trump.",CNN,USA
"Wednesday's quirky dance has unlocked something weird within all of us, and now it's taking the internet by storm.",CNN,USA
"President Biden will announce Monday that former Massachusetts Rep. Joe Kennedy III will serve as the US envoy to Northern Ireland, according to a source.",CNN,USA
"Former FTX CEO Sam Bankman-Fried is expected to appear in a Bahamas court on Monday to reverse his decision to contest extradition to the US, a person familiar with the matter told CNN.",CNN,USA
"As 2022 ends, CNN wants to know your reasons to be hopeful in 2023. Tell us your hopes using the link below, or post your hope on social media with the hashtag for the chance to be featured in CNN’s New Year’s Eve coverage.",CNN,USA
"US Customs and Border Protection officers seized zebra and giraffe bones from a woman at Washington's Dulles International Airport, the agency says.",CNN,USA
"""Should they delete that app?"" ""They should."" Rep. Mike Gallagher (R-WI) shares why he believes TikTok should be banned from use in the US.",CNN,USA
"As 2022 ends, CNN wants to know your reasons to be hopeful in 2023. Tell us your hopes using the link below, or post your hope on social media with the hashtag for the chance to be featured in CNN’s New Year’s Eve coverage.",CNN,USA
"A new video clip played by the House select committee investigating the January 6 insurrection of the US Capitol shows Hope Hicks, who previously served as a top aide to former President Donald Trump, reference Trump's baseless claims of election fraud.",CNN,USA
"The House committee investigating the January 6 insurrection at the US Capitol held its final public session on Monday. The committee is expected to release its final report in full this week, but first released a summary of its key findings.",CNN,USA
"The House committee investigating the Jan. 6 insurrection at the US Capitol is holding its last public session at 1 ET Monday, marking the end of the panel's expansive probe into the riot and former President Trump's role. Follow live updates.",CNN,USA
Fashion brand Esprit returns to the US -- with pop-up stores in LA and New York.,CNN,USA
The Department of Energy is set to shift the US lightbulb market to energy efficient LED bulbs.,CNN,USA
"The House select committee investigating the US Capitol attack on January 6, 2021, will hold its last public meeting on Monday",CNN,USA
