Text,Media,GPE
"China has sent a record 18 nuclear-capable H-6 bomber aircraft into Taiwan’s air defense zone, the island’s Defense Ministry said Tuesday, as Beijing continues to step-up pressure on the self-ruled island",CNN,Taiwan
"President Biden signed the National Defense Authorization Act into law, a massive defense spending bill with provisions that will give service members a pay raise, fund support for Ukraine and Taiwan, and rescind the US military's Covid-19 vaccine mandate.",CNN,Taiwan
The Biden administration has approved a potential $180 million arms sale to Taiwan amid ongoing tensions between the island and Beijing,CNN,Taiwan
